task,lang,metric,baseline,method,n_queries,meandiff,t_stat,p_raw,p_adj_holm,reject
rat2rev,en,R@10,bm25,mdpr,113,-0.041946281783214606,-2.9943109277556483,0.0033858507914562843,0.08148790711900585,False
rat2rev,en,R@10,bm25,mdpr-maxp-both,113,-0.03689795705083623,-2.9264229504202883,0.004152740403291605,0.08483986898666342,False
rat2rev,en,R@10,bm25,mdpr-maxp-doc,113,-0.0368716569509907,-2.965958359692944,0.003688689955941888,0.08483986898666342,False
rat2rev,en,R@10,bm25,mdpr-maxp-q,113,-0.04175540770239909,-2.9476170766097467,0.0038976879532626046,0.08483986898666342,False
rat2rev,en,R@10,bm25,me5-base,113,0.006836423878180107,0.6026264172109027,0.5479754745922273,1.0,False
rat2rev,en,R@10,bm25,me5-base-maxp-both,113,0.02391494367071449,2.07980950320018,0.03982505560072821,0.6372008896116513,False
rat2rev,en,R@10,bm25,me5-base-maxp-doc,113,0.010389478457526385,0.9328911216223165,0.3528829482897318,1.0,False
rat2rev,en,R@10,bm25,me5-base-maxp-q,113,0.018136602000978535,1.5693146455102414,0.11939561854499682,1.0,False
rat2rev,en,R@10,bm25,qwen3-reranker-0.6b+bm25,113,0.06440726841575864,4.223929786354034,4.909894558332232e-05,0.0016202652042496366,True
rat2rev,en,R@10,bm25,qwen3-reranker-4b+bm25,113,0.0568187962884309,3.7570980584475517,0.00027463171736700066,0.008513583238377021,True
rat2rev,en,R@10,bm25,qwen3-reranker-8b+bm25,113,0.0731228186472139,5.297466920267005,5.935374304105543e-07,2.1367347494779954e-05,True
rat2rev,en,R@10,bm25,rankgpt-gpt-4.1-mini+bm25,113,0.07214082499573697,5.3653093959087546,4.4064031674639933e-07,1.6303691719616776e-05,True
rat2rev,en,R@10,bm25,rankgpt-gpt-4.1-nano+bm25,113,0.015017465696828044,1.4985748428430987,0.13679727599433367,1.0,False
rat2rev,en,R@10,bm25,rankgpt-gpt-5.4-mini+bm25,113,0.08411030488306206,6.033054043294255,2.1222021322294812e-08,8.064368102472029e-07,True
rat2rev,en,R@100,bm25,bge-m3,113,-0.005690830557136426,-0.2588787279558499,0.7962039960856729,1.0,False
rat2rev,en,R@100,bm25,bge-reranker-v2-m3+bm25,113,0.0,0.0,1.0,1.0,False
rat2rev,en,R@100,bm25,bm25+d2e,113,0.0655811545957451,5.292544322143857,6.064573022307257e-07,1.8800176369152497e-05,True
rat2rev,en,R@100,bm25,bm25+d2q,113,-0.005526128260845337,-0.6893493810933129,0.49202914696239824,1.0,False
rat2rev,en,R@100,bm25,bm25+q2d_zs.gpt-4.1-mini,113,0.00044657530255237275,0.19798079173498997,0.8434189871439851,1.0,False
rat2rev,en,R@100,bm25,bm25+q2d_zs.qwen3.5-9b,113,-0.002700567923039772,-1.174678913272026,0.24261466798802256,1.0,False
rat2rev,en,R@100,bm25,bm25+q2e_zs.gpt-4.1-mini,113,0.00558269934896692,2.0385022462630813,0.043854950943696264,0.8770990188739253,False
