task,lang,metric,baseline,method,n_queries,meandiff,t_stat,p_raw,p_adj_holm,reject
rat2rev,en,R@100,jina-v3,bm25+task_q2e.qwen3.5-9b,113,-0.10362476985784079,-5.018876935801832,1.973152702244552e-06,3.333356342954773e-05,True
rat2rev,en,R@100,jina-v3,jina-reranker-v2+bm25,113,-0.1053281043742197,-5.119832565035163,1.2820601319056818e-06,3.333356342954773e-05,True
rat2rev,en,R@100,jina-v3,jina-v3+d2e,113,0.01601041749029488,1.0191570039912723,0.3103248878257764,1.0,False
rat2rev,en,R@100,jina-v3,jina-v3+d2q,113,-0.07765381206381143,-5.932991045218752,3.3803769816167264e-08,1.0141130944850179e-06,True
rat2rev,en,R@100,jina-v3,jina-v3+q2d_zs.gpt-4.1-mini,113,-0.011456620887151967,-2.062465647269997,0.041476598769173485,0.3318127901533879,False
rat2rev,en,R@100,jina-v3,jina-v3+q2d_zs.qwen3.5-9b,113,-0.00705327674787231,-1.1643447598694894,0.24675852333930998,1.0,False
rat2rev,en,R@100,jina-v3,jina-v3+q2e_zs.gpt-4.1-mini,113,0.007175190081627319,1.1717935822528585,0.24376662473492483,1.0,False
rat2rev,en,R@100,jina-v3,jina-v3+q2e_zs.qwen3.5-9b,113,0.005167840076789466,0.6982673481338411,0.48645728539988636,1.0,False
rat2rev,en,R@100,jina-v3,jina-v3+task_q2e.gpt-4.1-mini,113,0.008015830290304966,1.1667600105672415,0.24578556910492905,1.0,False
rat2rev,en,R@100,jina-v3,jina-v3+task_q2e.qwen3.5-9b,113,0.011497034971184573,1.5306367914027244,0.12867883962226787,0.7720730377336071,False
rat2rev,en,R@100,jina-v3,mcontriever,113,-0.16802072648384628,-7.414857434858152,2.4953299609530135e-11,7.985055875049643e-10,True
rat2rev,en,R@100,jina-v3,mcontriever-maxp-both,113,-0.1716380361137958,-7.219752226434646,6.668662327212319e-11,2.067285321435819e-09,True
rat2rev,en,R@100,jina-v3,mcontriever-maxp-doc,113,-0.1847863151317346,-7.767740869153148,4.133776522370001e-12,1.4054840176058003e-10,True
rat2rev,en,R@100,jina-v3,mcontriever-maxp-q,113,-0.1677238374482237,-7.450873854574018,2.079363994223997e-11,6.86190118093919e-10,True
rat2rev,en,R@100,jina-v3,mdpr,113,-0.2467723856093202,-9.08560337775848,4.247974721874692e-15,1.614230394312383e-13,True
rat2rev,en,R@100,jina-v3,mdpr-maxp-both,113,-0.2297948595408849,-8.449408501658075,1.2085920483855108e-13,4.230072169349288e-12,True
rat2rev,en,R@100,jina-v3,mdpr-maxp-doc,113,-0.23525880442323527,-8.708383175470633,3.107837642312673e-14,1.1188215512325625e-12,True
rat2rev,en,R@100,jina-v3,mdpr-maxp-q,113,-0.24279299434295387,-8.81950974106677,1.731510919112756e-14,6.406590400717197e-13,True
rat2rev,en,R@100,jina-v3,me5-base,113,-0.11012183893195047,-4.959454649117237,2.537397137823762e-06,3.8060957067356435e-05,True
rat2rev,en,R@100,jina-v3,me5-base-maxp-both,113,-0.11603516293900781,-5.256477781305179,7.098672602481659e-07,1.9876283286948645e-05,True
rat2rev,en,R@100,jina-v3,me5-base-maxp-doc,113,-0.12099377528038327,-5.541307945059328,2.0158344533649732e-07,5.8459199147584225e-06,True
rat2rev,en,R@100,jina-v3,me5-base-maxp-q,113,-0.0993146293420692,-4.528079085100407,1.4936353494484253e-05,0.00014936353494484253,True
rat2rev,en,R@100,jina-v3,qwen3-reranker-0.6b+bm25,113,-0.1053281043742197,-5.119832565035163,1.2820601319056818e-06,3.333356342954773e-05,True
rat2rev,en,R@100,jina-v3,qwen3-reranker-4b+bm25,113,-0.1053281043742197,-5.119832565035163,1.2820601319056818e-06,3.333356342954773e-05,True
rat2rev,en,R@100,jina-v3,qwen3-reranker-8b+bm25,113,-0.1053281043742197,-5.119832565035163,1.2820601319056818e-06,3.333356342954773e-05,True
rat2rev,en,R@100,jina-v3,rankgpt-gpt-4.1-mini+bm25,113,-0.1053281043742197,-5.119832565035163,1.2820601319056818e-06,3.333356342954773e-05,True
rat2rev,en,R@100,jina-v3,rankgpt-gpt-4.1-nano+bm25,113,-0.1053281043742197,-5.119832565035163,1.2820601319056818e-06,3.333356342954773e-05,True
rat2rev,en,R@100,jina-v3,rankgpt-gpt-5.4-mini+bm25,113,-0.1053281043742197,-5.119832565035163,1.2820601319056818e-06,3.333356342954773e-05,True
rat2rev,en,R@1000,jina-v3,bge-m3,113,-0.1588293758677699,-7.2037557747034935,7.225646158308e-11,1.01159046216312e-09,True
rat2rev,en,R@1000,jina-v3,bge-reranker-v2-m3+bm25,113,-0.352913434434571,-15.728567878695312,3.98479029462729e-30,1.5142203119583704e-28,True
rat2rev,en,R@1000,jina-v3,bm25,113,-0.17215249663932758,-8.164599486265232,5.331413726794537e-13,1.1729110198947983e-11,True
rat2rev,en,R@1000,jina-v3,bm25+d2e,113,-0.06062036485170256,-3.0346470878868343,0.0029944098004642517,0.023955278403714014,True
